,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
0,15547004,Restaurant Hubert,CBD,"15 Bligh Street, CBD, Sydney",Sydney,-33.8653483310,151.2106238678,2000,"French, European",4,150,4.9,Excellent,590,224
1,16558798,Quay,Circular Quay,"Upper Level, Overseas Passenger Terminal 5 Hickson Road, Circular Quay, Sydney",Sydney,-33.8580292558,151.2099704146,2000,Modern Australian,4,500,4.9,Excellent,1366,454
2,16559171,Tetsuya's,CBD,"529 Kent Street, CBD, Sydney",Sydney,-33.8751428662,151.2049315497,,Japanese,4,440,4.9,Excellent,1234,329
3,16569454,LuMi Bar & Dining,Pyrmont,"56 Pirrama Road, 	Pyrmont, Pyrmont, Sydney",Sydney,-33.8671367304,151.1975169182,2009,"Italian, Japanese",4,190,4.9,Excellent,452,196
4,15545439,Manpuku,Chatswood,"226 Victoria Avenue, Chatswood, Sydney",Sydney,-33.7944174758,151.1895420402,2067,"Japanese, Ramen",2,40,4.9,Excellent,486,190
5,16564814,Sixpenny,Stanmore,"83 Percival Rd, Stanmore, Sydney",Sydney,-33.8925519485,151.1647349596,2048,Modern Australian,4,280,4.9,Excellent,230,107
6,16559140,Tan Viet Noodle House,Cabramatta,"Shop 2-3, 100 John Street, Cabramatta, Sydney",Sydney,-33.8950410955,150.9341628850,2166,"Asian, Vietnamese",2,35,4.9,Excellent,463,182
7,16564570,Sokyo,"The Star, Pyrmont","Level G, The Darling, The Star, 80 Pyrmont Street, Pyrmont",Sydney,-33.8693380000,151.1959700000,2009,Japanese,4,120,4.8,Excellent,1401,567
8,18241437,KOI Dessert Bar,"Kensington Street, Chippendale","46 Kensington Street, Chippendale, Sydney",Sydney,-33.8854879306,151.2018050998,2008,"Desserts, Modern Australian",4,150,4.8,Excellent,996,437
9,16562527,Bistro Papillon,CBD,"98 Clarence Street, CBD, Sydney",Sydney,-33.8680359270,151.2053140998,2000,French,3,80,4.8,Excellent,505,155
10,17744148,Ho Jiak Haymarket 好吃禧市,Haymarket,"92 Hay Street, Chinatown, Haymarket, Sydney",Sydney,-33.8793663848,151.2040541321,,"Malaysian, Asian, Chinese, Asian Fusion, Singaporean",3,70,4.8,Excellent,553,218
11,16564699,The Baxter Inn,CBD,"Basement, 152-156 Clarence Street, CBD, Sydney",Sydney,-33.8697479935,151.2056279182,2000,Bar Food,3,60,4.8,Excellent,701,142
12,16567404,Ester,Chippendale,"46-52 Meagher Street, Chippendale, Sydney",Sydney,-33.8876201951,151.2009685859,2008,Modern Australian,4,150,4.8,Excellent,394,190
13,15544520,Five Points Burgers,North Sydney,"124 Walker Street, North Sydney, Sydney",Sydney,-33.8372437721,151.2090309709,2060,"Burger, American",2,40,4.8,Excellent,332,169
14,17744990,The Dolar Shop Hot Pot Restaurant 豆捞坊 - 1909 Dining Precinct,"Market City, Chinatown","Shop 5&6, Level 3, 1909 Dining Precinct, Market City, 9 - 13 Hay Street, Chinatown, Haymarket, Sydney",Sydney,-33.8797716623,151.2029835954,2000,"Chinese, Hot Pot, Asian, Seafood",4,120,4.8,Excellent,277,110
15,16562756,Mappen Noodle Restaurant,"SkyView Shopping Plaza, CBD","Shop 11, Skyview Shopping Plaza, 537-551 George Street, CBD, Sydney",Sydney,-33.8761343944,151.2058719993,2000,"Japanese, Asian",1,25,4.7,Excellent,1372,363
16,16557237,Bar Luca,CBD,"52 Phillip Street, CBD, Sydney",Sydney,-33.8640203701,151.2119307742,2000,"Burger, Modern Australian",3,60,4.7,Excellent,624,305
17,16570446,Belly Bao,Newtown,"184 King Street, Newtown, Sydney",Sydney,-33.8944995230,151.1825656146,2042,"Taiwanese, Street Food",2,40,4.7,Excellent,419,199
18,16558906,Ryo's Noodles,Crows Nest,"125 Falcon Street, Crows Nest, Sydney",Sydney,-33.8285150000,151.2066320000,2065,"Japanese, Ramen",2,50,4.7,Excellent,818,256
19,16559190,Thai Pothong,Newtown,"294 King Street, Newtown, Sydney",Sydney,-33.8967473326,151.1796621233,2042,Thai,4,100,4.7,Excellent,1031,289
20,16558689,Pasticceria Papa,Haberfield,"145 Ramsay Street, Haberfield, Sydney",Sydney,-33.8809142787,151.1397293954,2045,"Coffee and Tea, Italian, Cafe Food",1,20,4.7,Excellent,516,170
21,16558417,Malay Chinese Takeaway,CBD,"Shop 1, 50-58 Hunter Street, CBD, Sydney",Sydney,-33.8659722149,151.2096405029,2000,"Chinese, Malaysian",2,35,4.7,Excellent,418,155
22,16558782,Prime Steak Restaurant,"GPO Grand, CBD","Lower Ground Floor, GPO Grand, 1 Martin Place, CBD, Sydney",Sydney,-33.8679170555,151.2081260607,2000,"French, Steak",4,200,4.7,Excellent,233,73
23,16564943,Claire's Kitchen at Le Salon,Surry Hills,"35 Oxford Street, Surry Hills, Sydney",Sydney,-33.8779570839,151.2134767324,2010,French,4,120,4.7,Excellent,340,151
24,16561357,Ormeggio At The Spit,"D'Albora Marinas, Mosman","D'Albora Marinas The Spit, Spit Road, Mosman, Sydney",Sydney,-33.8042245992,151.2458385800,2088,Italian,4,300,4.7,Excellent,286,131
